Rank,Game,Month,Year,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,Date
8,World of Warcraft,February,2019,21710870,679217,211037,2747,46004,32355,1012,31.95999908,February 2019
9,PLAYERUNKNOWN'S BATTLEGROUNDS,February,2019,17964098,789359,98146,2450,78993,26772,1176,22.76000023,February 2019
10,Hearthstone,February,2019,13694403,125334,58328,292,15298,20408,186,109.2600021,February 2019
1,League of Legends,March,2019,108481064,1966064,369522,3947,172418,146004,2646,55.18000031,March 2019
2,Fortnite,March,2019,101265583,8373592,424746,23473,888542,136292,11269,12.09000015,March 2019
3,Grand Theft Auto V,March,2019,61516480,535486,304053,1593,66347,82794,720,114.8799973,March 2019
4,Apex Legends,March,2019,59660790,3786745,303666,10439,437017,80297,5096,15.76000023,March 2019
5,Just Chatting,March,2019,58236586,878360,211835,1781,135026,78380,1182,66.30000305,March 2019
6,Dota 2,March,2019,50333147,563468,357971,1456,47351,67743,758,89.33000183,March 2019
7,Counter-Strike: Global Offensive,March,2019,35411834,913794,833440,2509,134809,47660,1229,38.75,March 2019
8,Overwatch,March,2019,26607780,803629,259090,1748,104627,35811,1081,33.11000061,March 2019
9,Sekiro: Shadows Die Twice,March,2019,25426484,470352,279037,4679,75943,34221,633,54.06000137,March 2019
10,PLAYERUNKNOWN'S BATTLEGROUNDS,March,2019,20452055,815594,113196,1730,70159,27526,1097,25.07999992,March 2019
1,Fortnite,April,2019,100443090,7536634,465998,21968,884315,139698,10482,13.32999992,April 2019
2,League of Legends,April,2019,92428052,1978924,548157,4008,172848,128550,2752,46.70999908,April 2019
3,Grand Theft Auto V,April,2019,83055988,727591,256096,1868,79087,115515,1011,114.1500015,April 2019
4,Just Chatting,April,2019,58637850,862890,219754,1848,135011,81554,1200,67.95999908,April 2019
5,Hearthstone,April,2019,34381371,195599,278075,1572,25124,47818,272,175.7700043,April 2019
6,Counter-Strike: Global Offensive,April,2019,30853367,845555,313013,2295,127669,42911,1176,36.49000168,April 2019
7,Dota 2,April,2019,29498775,450484,146659,1330,36752,41027,626,65.48000336,April 2019
8,Overwatch,April,2019,28601463,788023,185196,2534,102724,39779,1095,36.29999924,April 2019
9,Apex Legends,April,2019,25099028,2009967,199116,5000,259932,34908,2795,12.48999977,April 2019
10,PLAYERUNKNOWN'S BATTLEGROUNDS,April,2019,20687517,846962,134191,1937,73993,28772,1177,24.43000031,April 2019
1,Fortnite,May,2019,107228121,6801136,590940,51473,846724,144317,9153,15.77000046,May 2019
2,League of Legends,May,2019,102843574,2119997,816163,4081,181289,138416,2853,48.50999832,May 2019
3,Grand Theft Auto V,May,2019,74723749,739013,184274,1806,79099,100570,994,101.1100006,May 2019
4,Just Chatting,May,2019,60652701,894976,194008,1834,139132,81632,1204,67.76999664,May 2019
5,Dota 2,May,2019,46710399,490819,402168,1257,37723,62867,660,95.16999817,May 2019
6,World of Warcraft,May,2019,40716238,713266,207693,2812,53664,54799,959,57.08000183,May 2019
7,Counter-Strike: Global Offensive,May,2019,29661382,860011,234864,2268,129622,39921,1157,34.49000168,May 2019
8,Overwatch,May,2019,24738341,843717,260129,2133,106609,33295,1135,29.31999969,May 2019
9,Hearthstone,May,2019,24588335,172703,86318,541,21818,33093,232,142.3699951,May 2019
10,PLAYERUNKNOWN'S BATTLEGROUNDS,May,2019,23786386,979620,117161,2071,86148,32013,1318,24.28000069,May 2019
1,Fortnite,June,2019,92750132,5793509,483267,15367,676020,128998,8057,16.01000023,June 2019
2,League of Legends,June,2019,89156672,1982483,318559,3915,184010,124000,2757,44.97000122,June 2019
3,Just Chatting,June,2019,61663846,908320,234098,2724,145157,85763,1263,67.88999939,June 2019
4,Grand Theft Auto V,June,2019,59832423,700622,176008,1734,77788,83216,974,85.40000153,June 2019
5,Dota 2,June,2019,42929219,440912,436845,1118,35018,59706,613,97.36000061,June 2019
6,World of Warcraft,June,2019,31345561,647822,210299,2236,49401,43596,901,48.38999939,June 2019
7,Overwatch,June,2019,30730691,765200,163632,1652,98075,42740,1064,40.15999985,June 2019
8,Counter-Strike: Global Offensive,June,2019,30260300,842383,348529,2080,130888,42086,1171,35.91999817,June 2019
9,Teamfight Tactics,June,2019,29252998,292292,213768,2862,48458,40685,406,100.0800018,June 2019
10,Special Events,June,2019,21130999,69909,1561858,5125,15030,29389,97,302.2600098,June 2019
1,Fortnite,July,2019,90508922,5704941,1299699,47033,619076,121815,7678,15.86999989,July 2019
2,Teamfight Tactics,July,2019,68336250,1028044,358190,2966,110297,91973,1383,66.47000122,July 2019
3,League of Legends,July,2019,68210459,1803517,280370,3413,179936,91804,2427,37.81999969,July 2019
4,Grand Theft Auto V,July,2019,62716588,902463,217246,2729,108065,84409,1214,69.48999786,July 2019
5,Just Chatting,July,2019,60624575,939477,175774,1771,146862,81594,1264,64.52999878,July 2019
6,Dota 2,July,2019,40975198,461803,278581,1081,35274,55148,621,88.73000336,July 2019
7,Counter-Strike: Global Offensive,July,2019,40700017,914238,407519,2224,138472,54777,1230,44.52000046,July 2019
8,World of Warcraft,July,2019,36942422,704873,218084,3039,47346,49720,948,52.40999985,July 2019
9,Overwatch,July,2019,29237452,803728,206996,1769,101433,39350,1081,36.38000107,July 2019
10,Apex Legends,July,2019,27486726,1659147,232821,6402,193078,36994,2233,16.56999969,July 2019
1,Fortnite,August,2019,89053008,5436945,357529,14870,596217,119856,7317,16.37999916,August 2019
2,League of Legends,August,2019,86094493,1977780,455329,5256,187707,115874,2661,43.52999878,August 2019
3,Dota 2,August,2019,70885379,487148,1045985,1174,37081,95404,655,145.5099945,August 2019
4,World of Warcraft,August,2019,67894760,1594116,1103295,19085,111263,91379,2145,42.59000015,August 2019
5,Just Chatting,August,2019,65042052,1002669,203000,1967,155221,87539,1349,64.87000275,August 2019
6,Grand Theft Auto V,August,2019,64717903,887662,204916,2146,101665,87103,1194,72.91000366,August 2019
7,Counter-Strike: Global Offensive,August,2019,46112933,974890,518564,2281,147984,62063,1312,47.29999924,August 2019
8,Overwatch,August,2019,35080281,898039,156073,2813,113361,47214,1208,39.06000137,August 2019
9,Minecraft,August,2019,32739148,1301621,233472,2979,202798,44063,1751,25.14999962,August 2019
10,Teamfight Tactics,August,2019,29354278,539011,88505,1322,70274,39507,725,54.45999908,August 2019
1,World of Warcraft,September,2019,89821179,2264059,376038,7890,126563,124925,3148,39.66999817,September 2019
2,League of Legends,September,2019,77579176,1977556,650591,4454,182545,107898,2750,39.22999954,September 2019
3,Just Chatting,September,2019,63835583,971238,245697,2777,148818,88783,1350,65.73000336,September 2019
4,Fortnite,September,2019,60441768,3521012,329388,9472,406624,84063,4897,17.17000008,September 2019
5,Counter-Strike: Global Offensive,September,2019,46007837,914564,659147,2416,138048,63988,1271,50.31000137,September 2019
6,Grand Theft Auto V,September,2019,39488952,643978,162573,1836,67389,54922,895,61.31999969,September 2019
7,Dota 2,September,2019,25854637,449103,126517,1269,34090,35959,624,57.56999969,September 2019
8,Minecraft,September,2019,23589113,1010450,176485,2955,164966,32808,1405,23.35000038,September 2019
9,Overwatch,September,2019,21867082,705530,321314,1717,92814,30413,981,30.98999977,September 2019
10,FIFA 20,September,2019,18620218,194424,183987,2047,29956,25897,270,95.76999664,September 2019
1,League of Legends,October,2019,125658644,2204626,1100440,5944,195507,169123,2967,57,October 2019
2,Fortnite,October,2019,79089347,3933947,1611930,43173,437772,106445,5294,20.10000038,October 2019
3,Just Chatting,October,2019,68419996,1089800,244285,2347,157126,92086,1466,62.77999878,October 2019
4,Counter-Strike: Global Offensive,October,2019,44765681,932539,381582,2578,135261,60249,1255,48,October 2019
5,Grand Theft Auto V,October,2019,36887640,595432,136460,1775,58109,49646,801,61.95000076,October 2019
6,World of Warcraft,October,2019,36044063,1244625,139148,4003,76104,48511,1675,28.95999908,October 2019
7,Dota 2,October,2019,30033003,449514,176174,1218,31508,40421,604,66.80999756,October 2019
8,Apex Legends,October,2019,26681907,1717985,398711,7967,177082,35911,2312,15.52999973,October 2019
9,FIFA 20,October,2019,25607373,422931,149965,1463,46820,34464,569,60.54999924,October 2019
10,Call of Duty: Warzone,October,2019,22685352,758783,368801,13276,136962,30532,1021,29.89999962,October 2019
1,League of Legends,November,2019,95436703,2126093,1782765,4512,200004,132735,2957,44.88999939,November 2019
2,Just Chatting,November,2019,68267215,1067460,287294,2373,161010,94947,1484,63.95000076,November 2019
3,Fortnite,November,2019,58552659,3529438,405467,10287,429521,81436,4908,16.59000015,November 2019
4,Counter-Strike: Global Offensive,November,2019,35606495,890153,299143,2500,129703,49522,1238,40,November 2019
5,Dota 2,November,2019,34770932,428219,243245,1267,30472,48360,595,81.19999695,November 2019
6,Grand Theft Auto V,November,2019,33148853,567027,213843,1653,60014,46104,788,58.45999908,November 2019
7,Pok<U+00E9>mon Sword/Shield,November,2019,27173037,501750,187166,4414,32492,37792,697,54.15999985,November 2019
8,Call of Duty: Warzone,November,2019,27132737,1416838,142668,4844,205192,37736,1970,19.14999962,November 2019
9,World of Warcraft,November,2019,26848994,949764,163200,3684,62881,37342,1320,28.27000046,November 2019
10,Hearthstone,November,2019,26372825,167754,97122,542,17606,36679,233,157.2100067,November 2019
1,Just Chatting,December,2019,83590066,1265051,267822,3315,189224,112503,1702,66.08000183,December 2019
2,League of Legends,December,2019,78579242,2302186,223571,6392,211766,105759,3098,34.13000107,December 2019
3,Fortnite,December,2019,64228513,3857516,942880,35639,470255,86444,5191,16.64999962,December 2019
4,Counter-Strike: Global Offensive,December,2019,40460483,977970,322386,2695,146003,54455,1316,41.36999893,December 2019
5,Grand Theft Auto V,December,2019,37868145,751436,143326,2190,93082,50966,1011,50.38999939,December 2019
6,Dota 2,December,2019,34260252,419408,200393,1072,30022,46110,564,81.69000244,December 2019
7,Hearthstone,December,2019,26159827,174544,114139,983,18693,35208,234,149.8800049,December 2019
8,Escape From Tarkov,December,2019,20280096,432077,224062,1290,23516,27294,581,46.93999863,December 2019
9,World of Warcraft,December,2019,20198621,819153,83895,2933,55256,27185,1102,24.65999985,December 2019
10,Path of Exile,December,2019,19374693,324264,146028,3094,19897,26076,436,59.75,December 2019
1,League of Legends,January,2020,99657869,2953365,349964,8083,237426,134129,3974,33.74000168,January 2020
2,Just Chatting,January,2020,88378302,1409820,631876,2959,214185,118947,1897,62.68999863,January 2020
3,Escape From Tarkov,January,2020,72356308,1043028,287491,2376,60579,97383,1403,69.37000275,January 2020
4,Fortnite,January,2020,53731549,4399954,595541,11303,502688,72317,5921,12.21000004,January 2020
5,Dota 2,January,2020,44025208,442024,364279,1055,30616,59253,594,99.59999847,January 2020
6,Grand Theft Auto V,January,2020,42646840,936367,157557,2520,110069,57398,1260,45.54999924,January 2020
7,Counter-Strike: Global Offensive,January,2020,33893286,1217678,257488,3371,168202,45616,1638,27.82999992,January 2020
8,World of Warcraft,January,2020,27563181,940687,167799,4077,59799,37097,1266,29.29999924,January 2020
9,FIFA 20,January,2020,23787522,354761,365896,1693,49934,32015,477,67.05000305,January 2020
10,Hearthstone,January,2020,21222953,163061,62503,405,16330,28563,219,130.1499939,January 2020
1,League of Legends,February,2020,121635889,2549292,412216,7253,211492,175015,3668,47.70999908,February 2020
2,Just Chatting,February,2020,89799571,1379006,309048,2849,195799,129208,1984,65.12000275,February 2020
3,Fortnite,February,2020,55475583,3975899,273169,11837,427073,79820,5720,13.94999981,February 2020
4,Counter-Strike: Global Offensive,February,2020,49796451,1135106,614792,3212,154126,71649,1633,43.86999893,February 2020
5,Escape From Tarkov,February,2020,48964051,1095520,208360,2443,60704,70451,1576,44.68999863,February 2020
6,Grand Theft Auto V,February,2020,43423533,917355,132945,2661,100907,62479,1319,47.34000015,February 2020
7,Dota 2,February,2020,34971672,436925,236718,1176,29417,50318,628,80.04000092,February 2020
8,World of Warcraft,February,2020,31740780,1009217,293197,4240,61087,45670,1452,31.45000076,February 2020
9,Apex Legends,February,2020,28301475,1962702,283368,7923,204742,40721,2824,14.42000008,February 2020
10,Hearthstone,February,2020,19173902,135829,81234,339,12881,27588,195,141.1600037,February 2020
1,League of Legends,March,2020,123599885,3062720,421581,8390,252555,166352,4122,40.36000061,March 2020
2,Just Chatting,March,2020,112003986,1808562,360279,4180,248185,150745,2434,61.93000031,March 2020
3,Call of Duty: Warzone,March,2020,96459529,4272706,520918,13777,474044,129824,5750,22.57999992,March 2020
4,Counter-Strike: Global Offensive,March,2020,66797699,1511619,828949,4667,197089,89902,2034,44.18999863,March 2020
5,Fortnite,March,2020,66249206,4750140,289330,12948,497697,89164,6393,13.94999981,March 2020
6,Grand Theft Auto V,March,2020,56174067,1056098,184708,3278,110705,75604,1421,53.18999863,March 2020
7,Dota 2,March,2020,41849138,544228,164524,1490,35212,56324,732,76.90000153,March 2020
8,Animal Crossing: New Horizons,March,2020,30832827,455308,244171,4403,40068,41497,612,67.72000122,March 2020
9,Escape From Tarkov,March,2020,27232954,928222,173904,2238,49014,36652,1249,29.34000015,March 2020
10,Hearthstone,March,2020,23909476,175493,108476,433,17509,32179,236,136.2400055,March 2020
1,VALORANT,April,2020,344551979,4588347,1728977,15710,319709,479209,6381,75.08999634,April 2020
2,Just Chatting,April,2020,141922978,2303367,548653,4912,272519,197389,3203,61.61999893,April 2020
3,League of Legends,April,2020,135859472,3461495,727437,8802,243651,188956,4814,39.25,April 2020
4,Fortnite,April,2020,97700836,7413195,832660,59676,565926,135884,10310,13.18000031,April 2020
5,Counter-Strike: Global Offensive,April,2020,86673161,1981314,535624,5542,215744,120546,2755,43.75,April 2020
6,Call of Duty: Warzone,April,2020,80164314,5542660,389980,13207,436487,111494,7708,14.46000004,April 2020
7,Grand Theft Auto V,April,2020,75744434,1450376,240860,4233,122286,105346,2017,52.22000122,April 2020
8,Dota 2,April,2020,54477072,673933,360147,1747,34147,75767,937,80.83000183,April 2020
9,Minecraft,April,2020,41127736,1669376,317297,4077,196386,57201,2321,24.63999939,April 2020
10,World of Warcraft,April,2020,33013013,1326196,150840,4515,68562,45915,1844,24.88999939,April 2020
1,Just Chatting,May,2020,181536582,2602630,839576,6961,314436,244329,3502,69.75,May 2020
2,VALORANT,May,2020,144780385,4763465,790635,16287,363116,194859,6411,30.38999939,May 2020
3,League of Legends,May,2020,127698472,3517695,504630,8347,245122,171868,4734,36.29999924,May 2020
4,Fortnite,May,2020,122842189,10245704,623197,39752,749518,165332,13789,11.98999977,May 2020
5,Grand Theft Auto V,May,2020,100049997,2101914,373709,5847,197660,134656,2828,47.59999847,May 2020
6,Call of Duty: Warzone,May,2020,91664784,5862126,352914,14850,420751,123371,7889,15.64000034,May 2020
7,Counter-Strike: Global Offensive,May,2020,76786808,1783788,380494,4853,187999,103346,2400,43.04999924,May 2020
8,Dota 2,May,2020,51023847,717401,199291,1758,33057,68672,965,71.12000275,May 2020
9,Minecraft,May,2020,41091438,1782172,481719,4034,210206,55304,2398,23.05999947,May 2020
10,FIFA 20,May,2020,40390175,941357,256298,4961,105866,54360,1266,42.90999985,May 2020
1,Just Chatting,June,2020,174681829,2438913,777678,12126,310815,242951,3392,71.62000275,June 2020
2,League of Legends,June,2020,143290296,2997392,556963,7519,215394,199291,4168,47.79999924,June 2020
3,Fortnite,June,2020,111733315,9686644,2331987,115814,733031,155400,13472,11.52999973,June 2020
4,Grand Theft Auto V,June,2020,100533035,1681199,389147,4500,145049,139823,2338,59.79999924,June 2020
5,Call of Duty: Warzone,June,2020,86836610,5425161,397249,13985,384367,120774,7545,16.01000023,June 2020
6,Escape From Tarkov,June,2020,77876827,920141,304888,2408,39629,108312,1279,84.63999939,June 2020
7,Counter-Strike: Global Offensive,June,2020,76001332,1403689,499919,4209,149577,105704,1952,54.13999939,June 2020
8,VALORANT,June,2020,55560006,3970028,250805,14194,331747,77274,5521,13.98999977,June 2020
9,Dota 2,June,2020,41177114,569147,212444,1490,27354,57269,791,72.34999847,June 2020
10,Minecraft,June,2020,38878256,1728072,397172,4747,214199,54072,2403,22.5,June 2020
1,Just Chatting,July,2020,182688702,2582898,573912,5586,324606,245879,3476,70.73000336,July 2020
2,League of Legends,July,2020,135123272,3248650,494759,7246,223201,181861,4372,41.59000015,July 2020
3,Fortnite,July,2020,105305814,8882333,328230,21039,681016,141730,11954,11.85999966,July 2020
4,Grand Theft Auto V,July,2020,94129970,1614402,378519,3752,130521,126689,2172,58.31000137,July 2020
5,Call of Duty: Warzone,July,2020,87748177,6455174,357124,16641,420466,118099,8687,13.59000015,July 2020
6,VALORANT,July,2020,56840893,3608486,151120,8081,285520,76501,4856,15.75,July 2020
7,Minecraft,July,2020,52864781,2081006,443809,4437,248121,71150,2800,25.39999962,July 2020
8,Counter-Strike: Global Offensive,July,2020,41902442,1187042,197934,3034,126894,56396,1597,35.29999924,July 2020
9,Dota 2,July,2020,35906928,571211,193157,1301,27565,48326,768,62.86000061,July 2020
10,World of Warcraft,July,2020,35243547,1199477,247146,3821,64159,47434,1614,29.37999916,July 2020
1,Just Chatting,August,2020,170478547,2607784,508828,5233,328529,229446,3509,65.37000275,August 2020
2,League of Legends,August,2020,142551572,3250969,707347,7440,229635,191859,4375,43.84999847,August 2020
3,Fall Guys: Ultimate Knockout,August,2020,112938341,2257803,713229,7272,395663,152003,3038,50.02000046,August 2020
4,Fortnite,August,2020,98814094,7962195,497250,21768,663479,132993,10716,12.40999985,August 2020
5,Call of Duty: Warzone,August,2020,84319459,6754492,951957,31506,445223,113485,9090,12.47999954,August 2020
6,Grand Theft Auto V,August,2020,83320277,1515588,374879,3525,125748,112140,2039,54.97999954,August 2020
7,VALORANT,August,2020,54462195,3016992,564404,8000,256154,73300,4060,18.04999924,August 2020
8,Counter-Strike: Global Offensive,August,2020,48243344,1071229,313425,2526,117920,64930,1441,45.04000092,August 2020
9,Minecraft,August,2020,40361660,1942298,374683,4520,244197,54322,2614,20.78000069,August 2020
10,Dota 2,August,2020,38252005,554956,170474,1247,26864,51483,746,68.93000031,August 2020
1,Just Chatting,September,2020,168706952,2550812,650779,8045,332334,234641,3547,66.13999939,September 2020
2,Among Us,September,2020,147132248,2507735,745468,12317,410661,204634,3487,58.66999817,September 2020
3,League of Legends,September,2020,135008222,3174675,794857,6737,230335,187772,4415,42.52999878,September 2020
4,Fortnite,September,2020,77824133,6265599,271740,17083,561921,108239,8714,12.42000008,September 2020
5,Call of Duty: Warzone,September,2020,73913008,6396945,363931,17370,422050,102799,8897,11.55000019,September 2020
6,Grand Theft Auto V,September,2020,58950202,1228347,318681,3147,98039,81989,1708,47.99000168,September 2020
7,Counter-Strike: Global Offensive,September,2020,53623137,1029871,306910,2620,114511,74580,1432,52.06999969,September 2020
8,Minecraft,September,2020,39056368,1549038,431196,3771,203417,54320,2154,25.20999908,September 2020
9,Dota 2,September,2020,38107678,551165,269456,1402,26860,53000,766,69.13999939,September 2020
10,VALORANT,September,2020,37448029,2159886,155402,5330,196434,52083,3004,17.34000015,September 2020
1,Just Chatting,October,2020,203159545,2757457,684417,6778,355568,273431,3711,73.68000031,October 2020
2,League of Legends,October,2020,171613067,3367157,2020835,8520,246211,230973,4531,50.97000122,October 2020
3,Among Us,October,2020,109716919,2160986,753943,9142,386445,147667,2908,50.77000046,October 2020
4,Fortnite,October,2020,85559924,5777917,388650,15148,533320,115154,7776,14.81000042,October 2020
5,Call of Duty: Warzone,October,2020,76217178,6653986,396270,22121,428944,102580,8955,11.44999981,October 2020
6,FIFA 21,October,2020,61128836,1060451,474733,3830,100606,82272,1427,57.63999939,October 2020
7,Counter-Strike: Global Offensive,October,2020,58560804,1138329,434419,2976,124370,78816,1532,51.43999863,October 2020
8,Grand Theft Auto V,October,2020,55833045,1225664,202629,3627,98469,75145,1649,45.54999924,October 2020
9,Minecraft,October,2020,49798217,1802763,472079,4489,235174,67023,2426,27.62000084,October 2020
10,Phasmophobia,October,2020,48599126,1876224,256449,8886,223859,65409,2525,25.89999962,October 2020
1,Just Chatting,November,2020,233960587,2867763,986105,6855,376893,325397,3988,81.58000183,November 2020
2,League of Legends,November,2020,121085351,3392709,345045,8877,254028,168407,4718,35.68999863,November 2020
3,Fortnite,November,2020,82963986,6162249,488655,25246,563077,115388,8570,13.46000004,November 2020
4,Among Us,November,2020,76950746,1328891,776257,5274,250289,107024,1848,57.90999985,November 2020
5,Minecraft,November,2020,76540606,2231010,591072,6133,282145,106454,3102,34.31000137,November 2020
6,Counter-Strike: Global Offensive,November,2020,60714096,1297659,551755,3544,139791,84442,1804,46.79000092,November 2020
7,World of Warcraft,November,2020,54668977,1708742,933430,25791,93850,76034,2376,31.98999977,November 2020
8,Grand Theft Auto V,November,2020,51712871,1359793,201218,4209,116010,71923,1891,38.02999878,November 2020
9,Call of Duty: Black Ops Cold War,November,2020,50776489,2503903,544486,23867,202264,70620,3482,20.28000069,November 2020
10,Call of Duty: Warzone,November,2020,50195793,4121539,247838,17727,322627,69813,5732,12.18000031,November 2020
1,Just Chatting,December,2020,248573448,3149975,1117874,8817,413135,334553,4239,78.91000366,December 2020
2,Fortnite,December,2020,108692225,7231028,1585293,129860,667652,146288,9732,15.02999973,December 2020
3,League of Legends,December,2020,96413165,3297197,318449,7979,247003,129761,4437,29.23999977,December 2020
4,World of Warcraft,December,2020,90202480,2343848,411898,11273,108723,121403,3154,38.47999954,December 2020
5,Minecraft,December,2020,72142619,2736322,591932,7060,346527,97096,3682,26.36000061,December 2020
6,Call of Duty: Warzone,December,2020,65844965,2460572,343398,7996,174916,88620,3311,26.76000023,December 2020
7,Cyberpunk 2077,December,2020,63683090,2587517,1126038,35125,232288,85710,3482,24.61000061,December 2020
8,Grand Theft Auto V,December,2020,61709131,1807602,262859,6530,172265,83054,2432,34.13999939,December 2020
9,Counter-Strike: Global Offensive,December,2020,60757021,1426365,387473,3961,154721,81772,1919,42.59999847,December 2020
10,Escape From Tarkov,December,2020,57062005,998798,418894,3710,45168,76799,1344,57.13000107,December 2020
1,Just Chatting,January,2021,248144653,3420670,2787896,8240,464702,333976,4603,72.54000092,January 2021
2,Rust,January,2021,190468488,1147089,1373791,3249,91592,256350,1543,166.0500031,January 2021
3,League of Legends,January,2021,170781975,4354400,689503,11606,294795,229854,5860,39.22000122,January 2021
4,Escape From Tarkov,January,2021,110847591,1594856,441410,4268,67458,149189,2146,69.5,January 2021
5,Fortnite,January,2021,101306583,7396984,997440,19348,689937,136348,9955,13.69999981,January 2021
6,Minecraft,January,2021,80076090,3591863,931417,9865,443494,107774,4834,22.29000092,January 2021
7,Call of Duty: Warzone,January,2021,80057408,3304045,424575,9097,225044,107748,4446,24.22999954,January 2021
8,Grand Theft Auto V,January,2021,74060698,2032778,327587,5660,185072,99677,2735,36.43000031,January 2021
9,Counter-Strike: Global Offensive,January,2021,60899705,1669538,592921,4598,178120,81964,2247,36.47999954,January 2021
10,FIFA 21,January,2021,55385122,1180415,837094,7733,137198,74542,1588,46.91999817,January 2021
1,Just Chatting,February,2021,240445690,3202966,1138978,13308,444507,358339,4773,75.06999969,February 2021
2,League of Legends,February,2021,150221076,3665750,703375,9687,268439,223876,5463,40.97999954,February 2021
3,Grand Theft Auto V,February,2021,137704722,2006058,506815,6008,175699,205223,2989,68.63999939,February 2021
4,Fortnite,February,2021,107665720,6523956,541227,18890,644071,160455,9722,16.5,February 2021
5,Minecraft,February,2021,82415310,3524597,647145,9853,450593,122824,5252,23.37999916,February 2021
6,Call of Duty: Warzone,February,2021,73419748,3228772,305415,8963,202041,109418,4811,22.73999977,February 2021
7,VALORANT,February,2021,70228871,2945356,289898,7382,266828,104662,4389,23.84000015,February 2021
8,Counter-Strike: Global Offensive,February,2021,67578481,1507029,607485,4460,161814,100713,2245,44.84000015,February 2021
9,Apex Legends,February,2021,51757131,4059568,208798,13184,303619,77134,6050,12.75,February 2021
10,Rust,February,2021,44335563,599060,331005,3092,47558,66073,892,74.01000214,February 2021
1,Just Chatting,March,2021,270395369,3485083,1086313,8309,469545,363923,4690,77.58999634,March 2021
2,Grand Theft Auto V,March,2021,184577838,2255433,589654,6387,186339,248422,3035,81.83999634,March 2021
3,League of Legends,March,2021,149786518,3766997,853781,9222,268051,201596,5069,39.75999832,March 2021
4,Fortnite,March,2021,117342947,7181301,778187,20333,703686,157931,9665,16.34000015,March 2021
5,Call of Duty: Warzone,March,2021,90935782,3616466,411804,9322,220122,122390,4867,25.13999939,March 2021
6,Minecraft,March,2021,87784445,3419021,663533,9509,441025,118148,4601,25.68000031,March 2021
7,VALORANT,March,2021,87645493,3531041,415809,8033,309748,117961,4752,24.81999969,March 2021
8,Counter-Strike: Global Offensive,March,2021,72375036,1626300,454393,4379,170319,97409,2188,44.5,March 2021
9,Apex Legends,March,2021,61043473,4108227,207842,9184,317439,82158,5529,14.85999966,March 2021
10,Dota 2,March,2021,39978562,659629,230592,1597,31292,53806,887,60.61000061,March 2021
1,Just Chatting,April,2021,289547911,3544601,937749,8026,474257,402709,4929,81.69000244,April 2021
2,Grand Theft Auto V,April,2021,239438984,2508876,1105818,7043,211141,333016,3489,95.44000244,April 2021
3,League of Legends,April,2021,156994170,3592720,906631,8333,260952,218350,4996,43.70000076,April 2021
4,Call of Duty: Warzone,April,2021,100571607,3596411,1629284,22437,218805,139877,5001,27.95999908,April 2021
5,Fortnite,April,2021,94112337,5810309,498791,17790,588089,130893,8081,16.20000076,April 2021
6,VALORANT,April,2021,85635830,3435109,440084,8565,306540,119104,4777,24.93000031,April 2021
7,Minecraft,April,2021,79728626,3112654,749947,8863,405918,110888,4329,25.61000061,April 2021
8,Counter-Strike: Global Offensive,April,2021,70072819,1464933,421485,4173,158206,97458,2037,47.83000183,April 2021
9,Apex Legends,April,2021,51425055,3688671,171721,8110,297846,71523,5130,13.93999958,April 2021
10,Dota 2,April,2021,49785357,666178,372593,1658,32754,69242,926,74.73000336,April 2021
1,Just Chatting,May,2021,285948196,3522387,983678,7465,462447,384856,4740,81.18000031,May 2021
2,Grand Theft Auto V,May,2021,253419456,2510018,1140656,6978,197818,341075,3378,100.9599991,May 2021
3,League of Legends,May,2021,174012672,3516137,1257320,7697,251261,234202,4732,49.49000168,May 2021
4,VALORANT,May,2021,100244546,3307836,1010321,8041,288329,134918,4452,30.30999947,May 2021
5,Call of Duty: Warzone,May,2021,96069742,3482496,406728,9133,204332,129299,4687,27.59000015,May 2021
6,Fortnite,May,2021,91858834,4994610,456652,14339,484887,123632,6722,18.38999939,May 2021
7,Minecraft,May,2021,76661535,2829132,964018,7751,357562,103178,3807,27.10000038,May 2021
8,Counter-Strike: Global Offensive,May,2021,75670449,1380646,551182,3620,140856,101844,1858,54.81000137,May 2021
9,Apex Legends,May,2021,68053310,4565820,363341,15570,339210,91592,6145,14.89999962,May 2021
10,Resident Evil Village,May,2021,50416020,1585610,645130,15093,146083,67854,2134,31.79999924,May 2021
1,Just Chatting,June,2021,252985317,3188627,1034076,8657,429682,351857,4434,79.33999634,June 2021
2,Grand Theft Auto V,June,2021,170602312,2134054,609223,5930,165667,237277,2968,79.94000244,June 2021
3,League of Legends,June,2021,147594315,3053763,708943,6443,220621,205277,4247,48.33000183,June 2021
4,Call of Duty: Warzone,June,2021,84562816,3061219,482855,8231,179068,117611,4257,27.62000084,June 2021
5,VALORANT,June,2021,80581440,3217503,252386,7691,277299,112074,4474,25.04000092,June 2021
6,Minecraft,June,2021,72365696,2841782,499342,7623,362028,100647,3952,25.45999908,June 2021
7,Fortnite,June,2021,70802599,5069896,343301,15889,492980,98473,7051,13.97000027,June 2021
8,Dota 2,June,2021,62316260,653133,375582,1544,31893,86670,908,95.41000366,June 2021
9,Counter-Strike: Global Offensive,June,2021,55332904,1162096,363798,2995,116511,76958,1616,47.61000061,June 2021
10,World of Warcraft,June,2021,52816476,1323880,428127,8423,64312,73458,1841,39.90000153,June 2021
